transaction_id,amount,time,merchant,category,location,device,ip_address,user_id
0,40.2,6:30 AM,B,retail,US,mobile,192.168.15.51,1944
1,760.76,1:15 AM,C,travel,US,tablet,192.168.247.127,1043
2,481.0,5:00 AM,D,retail,JP,desktop,192.168.63.56,1780
3,425.48,10:15 AM,C,travel,AU,tablet,192.168.216.252,1823
4,588.2,12:15 AM,A,food,CA,desktop,192.168.35.72,1577
5,45.92,1:00 PM,E,entertainment,UK,desktop,192.168.70.253,1676
6,33.12,10:30 AM,C,retail,UK,desktop,192.168.116.168,1060
7,47.82,6:15 PM,E,retail,UK,tablet,192.168.95.100,1659
8,75.19,10:00 AM,D,food,US,tablet,192.168.26.97,1800
9,39.12,3:30 AM,C,travel,AU,desktop,192.168.88.236,1133
10,8.63,5:45 PM,A,travel,CA,desktop,192.168.2.152,1938
11,83.28,3:00 PM,E,travel,UK,desktop,192.168.132.235,1520
12,5.75,3:15 AM,B,food,AU,mobile,192.168.28.64,1899
13,22.03,3:30 AM,A,retail,UK,desktop,192.168.159.218,1677
14,47.78,12:45 AM,D,retail,US,desktop,192.168.31.207,1839
15,19.06,7:00 PM,B,entertainment,UK,mobile,192.168.254.210,1009
16,40.78,1:00 AM,B,entertainment,UK,mobile,192.168.144.41,1972
17,457.44,11:30 AM,D,entertainment,UK,mobile,192.168.140.231,1473
18,411.48,1:30 AM,A,travel,US,desktop,192.168.246.122,1895
19,22.38,10:15 AM,C,retail,AU,desktop,192.168.105.185,1221
20,30.4,9:30 PM,D,food,CA,desktop,192.168.130.146,1280
21,71.53,10:00 PM,A,entertainment,AU,tablet,192.168.187.129,1859
22,5.27,12:00 PM,D,entertainment,AU,mobile,192.168.38.31,1889
23,70.54,2:00 PM,E,entertainment,UK,mobile,192.168.104.99,1909
24,666.76,1:15 PM,E,retail,AU,mobile,192.168.61.243,1129
25,30.05,5:00 AM,D,food,AU,desktop,192.168.147.102,1275
26,47.26,10:00 PM,E,entertainment,CA,desktop,192.168.59.103,1903
27,15.51,6:30 PM,B,entertainment,CA,tablet,192.168.117.168,1156
28,4.27,10:45 AM,B,services,US,tablet,192.168.42.113,1558
29,5.87,7:00 AM,A,retail,JP,mobile,192.168.81.119,1820
30,59.08,11:00 AM,A,travel,UK,tablet,192.168.189.6,1729
31,6.09,3:15 PM,E,food,UK,mobile,192.168.53.11,1035
32,30.05,10:00 AM,D,services,UK,tablet,192.168.123.90,1166
33,83.62,11:30 PM,E,services,US,tablet,192.168.223.143,1035
34,35.97,10:00 AM,A,food,US,mobile,192.168.181.162,1930
35,53.22,7:30 AM,C,services,UK,desktop,192.168.104.120,1403
36,2.67,12:15 PM,A,food,JP,tablet,192.168.55.199,1696
37,635.72,1:15 PM,D,food,UK,desktop,192.168.248.4,1970
38,5.23,2:15 AM,D,food,UK,desktop,192.168.180.51,1019
39,21.07,4:45 PM,C,services,UK,mobile,192.168.170.120,1645
40,463.4,5:00 PM,E,services,JP,tablet,192.168.87.27,1684
41,70.33,4:45 PM,E,retail,JP,tablet,192.168.35.88,1992
